date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2022/1/1,25,56,35,3,0.6,30,51
2022/1/2,12,27,23,2,0.32,38,27
2022/1/3,23,50,39,2,0.51,20,49
2022/1/4,32,55,44,4,0.88,17,52
2022/1/5,61,72,50,2,1.03,10,82
2022/1/6,57,63,47,3,1,17,79
2022/1/7,83,89,61,3,1.34,7,111
2022/1/8,56,61,43,2,0.91,27,78
2022/1/9,46,67,42,2,0.92,15,65
2022/1/10,20,29,20,2,0.45,42,36
2022/1/11,10,23,24,2,0.36,33,23
2022/1/12,16,37,27,2,0.43,29,37
2022/1/13,9,21,21,2,0.33,38,22
2022/1/14,63,79,50,3,0.84,13,90
2022/1/15,46,61,31,2,0.6,36,73
2022/1/16,9,22,23,2,0.35,36,24
2022/1/17,16,35,33,2,0.48,27,35
2022/1/18,47,70,55,5,0.89,11,67
2022/1/19,59,78,42,6,1.17,15,81
2022/1/20,37,43,23,2,0.51,36,54
2022/1/21,57,53,33,2,0.73,23,78
2022/1/22,98,71,48,2,1.48,11,129
2022/1/23,119,73,45,2,1.43,13,157
2022/1/24,148,88,42,2,1.63,15,196
2022/1/25,73,40,23,2,0.83,37,100
2022/1/26,10,13,15,2,0.34,49,18
2022/1/27,13,18,16,2,0.37,46,21
2022/1/28,14,20,15,2,0.37,48,24
2022/1/29,18,26,22,2,0.45,42,27
2022/1/30,86,107,32,2,0.95,34,116
2022/1/31,12,19,6,2,0.26,63,29
2022/2/1,6,11,8,2,0.25,63,21
2022/2/2,12,18,13,2,0.33,55,22
2022/2/3,7,13,9,2,0.27,63,21
2022/2/4,5,9,4,2,0.2,72,23
2022/2/5,7,13,7,1,0.23,69,22
2022/2/6,8,15,10,2,0.26,64,22
2022/2/7,10,20,16,2,0.36,54,22
2022/2/8,14,25,22,2,0.43,47,26
2022/2/9,37,54,35,3,0.69,37,53
2022/2/10,55,79,36,3,0.76,46,75
2022/2/11,50,74,29,3,0.66,53,69
2022/2/12,35,62,20,3,0.63,49,56
2022/2/13,49,70,21,2,0.76,37,68
2022/2/14,13,18,10,2,0.32,65,27
2022/2/15,13,19,13,2,0.32,61,22
2022/2/16,13,20,14,2,0.3,61,23
2022/2/17,25,36,24,2,0.47,51,37
2022/2/18,34,45,21,2,0.44,49,51
2022/2/19,8,15,6,2,0.23,70,22
2022/2/20,8,20,12,2,0.29,59,21
2022/2/21,8,19,9,2,0.25,64,22
2022/2/22,10,18,10,2,0.27,64,22
2022/2/23,14,26,25,2,0.41,45,26
2022/2/24,23,43,33,3,0.52,39,40
2022/2/25,61,101,48,4,0.8,38,84
2022/2/26,10,23,15,2,0.28,66,30
2022/2/27,20,51,37,3,0.5,38,47
2022/2/28,53,105,44,6,0.8,42,78
2022/3/1,6,17,10,2,0.25,68,25
2022/3/2,16,44,25,2,0.4,49,43
2022/3/3,24,68,26,4,0.56,53,57
2022/3/4,27,97,24,2,0.47,54,72
