date,True AQI,Predicted AQI (LR-GEP)
2024/5/28,67,51.67417390289058
2024/5/29,76,71.1977773762781
2024/5/30,44,41.09888868813905
2024/5/31,28,18.32135130252029
2024/6/1,40,35.404504341734345
2024/6/2,46,41.91237216619682
2024/6/3,65,50.047206946774985
2024/6/4,74,58.99552520541087
2024/6/5,64,65.5033930298734
2024/6/6,74,67.13035998598905
2024/6/7,50,54.92810781512182
2024/6/8,54,41.09888868813905
2024/6/9,61,42.72585564425464
2024/6/10,67,49.233723468717166
2024/6/11,63,37.844954775907766
2024/6/12,73,50.047206946774985
2024/6/13,69,58.99552520541087
2024/6/14,44,35.404504341734345
2024/6/15,36,28.083153039214054
2024/6/16,60,50.860690424832754
2024/6/17,83,67.13035998598905
2024/6/18,90,68.75732694210464
2024/6/19,93,81.77306259102969
2024/6/20,74,69.57081042016246
2024/6/21,50,49.233723468717166
2024/6/22,97,115.93936866945779
2024/6/23,137,166.37534430904216
2024/6/24,29,23.202252170867173
2024/6/25,43,33.77753738561869
2024/6/26,80,66.31687650793121
2024/6/27,71,67.94384346404681
2024/6/28,80,61.435975639584335
2024/6/29,71,66.31687650793121
2024/6/30,55,37.844954775907766
2024/7/1,35,26.45618608309841
2024/7/2,34,34.591020863676526
2024/7/3,37,33.77753738561869
2024/7/4,62,55.74159129317964
2024/7/5,84,67.94384346404681
2024/7/6,45,32.96405390756094
2024/7/7,40,35.404504341734345
2024/7/8,37,33.77753738561869
2024/7/9,64,55.74159129317964
2024/7/10,81,66.31687650793121
2024/7/11,88,76.89216172268274
2024/7/12,45,43.53933912231246
2024/7/13,52,43.53933912231246
2024/7/14,73,60.62249216152651
2024/7/15,59,53.301140859006225
2024/7/16,44,36.21798781979217
2024/7/17,29,19.948318258635883
2024/7/18,32,27.26966956115623
2024/7/19,61,44.35282260037029
2024/7/20,53,32.15057042950312
2024/7/21,50,47.60675651260152
2024/7/22,40,29.710119995329645
2024/7/23,58,57.36855824929528
2024/7/24,48,45.16630607842811
2024/7/25,26,21.57528521475153
2024/7/26,31,21.57528521475153
2024/7/27,37,30.523603473387467
2024/7/28,31,28.083153039214054
2024/7/29,40,38.658438253965585
2024/7/30,19,16.69438434640465
2024/7/31,32,23.202252170867173
2024/8/1,27,20.761801736693705
2024/8/2,34,35.404504341734345
2024/8/3,31,31.33708695144529
2024/8/4,37,27.26966956115623
2024/8/5,30,17.50786782446247
2024/8/6,45,38.658438253965585
2024/8/7,50,48.42023999065934
2024/8/8,43,34.591020863676526
2024/8/9,49,45.97978955648587
2024/8/10,29,24.82921912698276
2024/8/11,27,23.202252170867173
2024/8/12,18,12.62696695611559
2024/8/13,18,18.32135130252029
2024/8/14,27,27.26966956115623
2024/8/15,43,41.91237216619682
2024/8/16,43,41.91237216619682
2024/8/17,38,35.404504341734345
2024/8/18,30,22.388768692809347
2024/8/19,26,23.202252170867173
2024/8/20,18,17.50786782446247
2024/8/21,23,19.134834780578117
2024/8/22,28,24.82921912698276
2024/8/23,42,38.658438253965585
2024/8/24,33,28.083153039214054
2024/8/25,30,31.33708695144529
2024/8/26,26,18.32135130252029
2024/8/27,21,19.948318258635883
2024/8/28,31,28.89663651727182
2024/8/29,43,37.844954775907766
2024/8/30,58,47.60675651260152
2024/8/31,52,51.67417390289058
2024/9/1,28,24.015735648925
2024/9/2,21,16.69438434640465
2024/9/3,32,33.77753738561869
2024/9/4,58,58.182041727353095
2024/9/5,23,17.50786782446247
2024/9/6,23,21.57528521475153
2024/9/7,22,24.82921912698276
2024/9/8,26,28.89663651727182
2024/9/9,58,50.860690424832754
2024/9/10,17,15.067417390289057
2024/9/11,20,23.202252170867173
2024/9/12,26,25.642702605040586
2024/9/13,33,32.15057042950312
2024/9/14,23,23.202252170867173
2024/9/15,28,29.710119995329645
2024/9/16,40,38.658438253965585
2024/9/17,26,27.26966956115623
2024/9/18,38,38.658438253965585
2024/9/19,53,50.860690424832754
2024/9/20,31,28.89663651727182
2024/9/21,17,11.0
2024/9/22,18,16.69438434640465
2024/9/23,34,35.404504341734345
2024/9/24,56,56.555074771237464
2024/9/25,43,36.21798781979217
2024/9/26,34,35.404504341734345
2024/9/27,46,45.97978955648587
2024/9/28,52,51.67417390289058
2024/9/29,68,65.5033930298734
2024/9/30,12,11.0
2024/10/1,15,13.440450434173414
2024/10/2,18,19.948318258635883
2024/10/3,30,32.15057042950312
2024/10/4,63,65.5033930298734
2024/10/5,81,81.77306259102969
2024/10/6,81,76.89216172268274
2024/10/7,24,22.388768692809347
2024/10/8,26,28.083153039214054
2024/10/9,77,80.14609563491405
2024/10/10,22,19.134834780578117
2024/10/11,48,52.4876573809484
2024/10/12,84,92.34834780578122
2024/10/13,116,111.87195127916873
2024/10/14,120,105.3640834547062
2024/10/15,40,39.47192173202341
2024/10/16,45,44.35282260037029
2024/10/17,57,58.99552520541087
2024/10/18,38,34.591020863676526
2024/10/19,17,13.440450434173414
2024/10/20,33,34.591020863676526
2024/10/21,52,51.67417390289058
2024/10/22,26,24.82921912698276
2024/10/23,40,42.72585564425464
2024/10/24,62,64.68990955181557
2024/10/25,148,130.58207127449836
2024/10/26,201,168.81579474321558
2024/10/27,28,26.45618608309841
2024/10/28,40,44.35282260037029
2024/10/29,90,91.5348643277234
2024/10/30,89,87.46744693743433
2024/10/31,136,124.88768692809371
2024/11/1,130,118.3798191036312
2024/11/2,123,107.80453388887962
2024/11/3,71,60.62249216152651
2024/11/4,17,15.880900868346828
2024/11/5,38,39.47192173202341
2024/11/6,52,56.555074771237464
2024/11/7,93,100.48318258635932
2024/11/8,148,140.34387301119213
2024/11/9,161,137.90342257701872
2024/11/10,125,104.55059997664839
2024/11/11,74,73.63822781045151
2024/11/12,84,86.6539634593765
2024/11/13,81,76.89216172268274
2024/11/14,53,43.53933912231246
