date,True AQI,Predicted AQI
2024-05-29,76.0,53.683388
2024-05-30,44.0,46.164795
2024-05-31,28.0,41.494217
2024-06-01,40.0,44.743
2024-06-02,46.0,53.294296
2024-06-03,65.0,61.52901
2024-06-04,74.0,65.70026
2024-06-05,64.0,64.96324
2024-06-06,74.0,61.407257
2024-06-07,50.0,57.85009
2024-06-08,54.0,57.918823
2024-06-09,61.0,60.28296
2024-06-10,67.0,63.84827
2024-06-11,63.0,65.2876
2024-06-12,73.0,62.882454
2024-06-13,69.0,56.588577
2024-06-14,44.0,52.087418
2024-06-15,36.0,55.325855
2024-06-16,60.0,66.14778
2024-06-17,83.0,77.66656
2024-06-18,90.0,82.040146
2024-06-19,93.0,79.111496
2024-06-20,74.0,77.56173
2024-06-21,50.0,81.22141
2024-06-22,97.0,84.024086
2024-06-23,137.0,77.54824
2024-06-24,29.0,65.973015
2024-06-25,43.0,62.150562
2024-06-26,80.0,66.3676
2024-06-27,71.0,71.38611
2024-06-28,80.0,69.34784
2024-06-29,71.0,60.667225
2024-06-30,55.0,49.927242
2024-07-01,35.0,42.014824
2024-07-02,34.0,42.839355
2024-07-03,37.0,50.247032
2024-07-04,62.0,57.400757
2024-07-05,84.0,57.066948
2024-07-06,45.0,50.916122
2024-07-07,40.0,48.26867
2024-07-08,37.0,53.893147
2024-07-09,64.0,64.45932
2024-07-10,81.0,69.34369
2024-07-11,88.0,66.67566
2024-07-12,45.0,61.073578
2024-07-13,52.0,58.606674
2024-07-14,73.0,56.525887
2024-07-15,59.0,50.83365
2024-07-16,44.0,43.25568
2024-07-17,29.0,40.115257
2024-07-18,32.0,43.353207
2024-07-19,61.0,48.261093
2024-07-20,53.0,49.671627
2024-07-21,50.0,49.124264
2024-07-22,40.0,47.43143
2024-07-23,58.0,45.019066
2024-07-24,48.0,39.998127
2024-07-25,26.0,35.061302
2024-07-26,31.0,32.83766
2024-07-27,37.0,32.89825
2024-07-28,31.0,32.311058
2024-07-29,40.0,30.604952
2024-07-30,19.0,28.682262
2024-07-31,32.0,28.93275
2024-08-01,27.0,29.915123
2024-08-02,34.0,31.716644
2024-08-03,31.0,32.86291
2024-08-04,37.0,35.153183
2024-08-05,30.0,38.301636
2024-08-06,45.0,42.242012
2024-08-07,50.0,44.215168
2024-08-08,43.0,42.67846
2024-08-09,49.0,37.76264
2024-08-10,29.0,30.742924
2024-08-11,27.0,25.039255
2024-08-12,18.0,22.87685
2024-08-13,18.0,26.00399
2024-08-14,27.0,31.862602
2024-08-15,43.0,36.77173
2024-08-16,43.0,37.442917
2024-08-17,38.0,34.197998
2024-08-18,30.0,28.985056
2024-08-19,26.0,24.918762
2024-08-20,18.0,24.126398
2024-08-21,23.0,26.839584
2024-08-22,28.0,30.75698
2024-08-23,42.0,32.898247
2024-08-24,33.0,31.627405
2024-08-25,30.0,28.760195
2024-08-26,26.0,27.19747
2024-08-27,21.0,30.135178
2024-08-28,31.0,36.962807
2024-08-29,43.0,43.786705
2024-08-30,58.0,45.231487
2024-08-31,52.0,40.217857
2024-09-01,28.0,34.42611
2024-09-02,21.0,32.969315
2024-09-03,32.0,34.6929
2024-09-04,58.0,34.377136
2024-09-05,23.0,29.736004
2024-09-06,23.0,27.274157
2024-09-07,22.0,28.647104
2024-09-08,26.0,31.896225
2024-09-09,58.0,31.5428
2024-09-10,17.0,27.795897
2024-09-11,20.0,25.74376
2024-09-12,26.0,25.603504
2024-09-13,33.0,27.412216
2024-09-14,23.0,28.718014
2024-09-15,28.0,30.327658
2024-09-16,40.0,32.735825
2024-09-17,26.0,35.641018
2024-09-18,38.0,37.510475
2024-09-19,53.0,35.378498
2024-09-20,31.0,29.752892
2024-09-21,17.0,26.772705
2024-09-22,18.0,29.988949
2024-09-23,34.0,37.165714
2024-09-24,56.0,41.760674
2024-09-25,43.0,42.588043
2024-09-26,34.0,44.07151
2024-09-27,46.0,46.75092
2024-09-28,52.0,45.98315
2024-09-29,68.0,38.542793
2024-09-30,12.0,27.554409
2024-10-01,15.0,23.945242
2024-10-02,18.0,30.729004
2024-10-03,30.0,46.319725
2024-10-04,63.0,59.972866
2024-10-05,81.0,62.834587
2024-10-06,81.0,55.563095
2024-10-07,24.0,46.304363
2024-10-08,26.0,42.694405
2024-10-09,77.0,44.853256
2024-10-10,22.0,52.700634
2024-10-11,48.0,68.58075
2024-10-12,84.0,85.468994
2024-10-13,116.0,91.21461
2024-10-14,120.0,80.71741
2024-10-15,40.0,62.943256
2024-10-16,45.0,49.77738
2024-10-17,57.0,41.11915
2024-10-18,38.0,35.902832
2024-10-19,17.0,33.173088
2024-10-20,33.0,34.241676
2024-10-21,52.0,37.302166
2024-10-22,26.0,46.206554
2024-10-23,40.0,69.3787
2024-10-24,62.0,99.59079
2024-10-25,148.0,116.17913
2024-10-26,201.0,105.83949
2024-10-27,28.0,82.61946
2024-10-28,40.0,74.33183
2024-10-29,90.0,84.99392
2024-10-30,89.0,104.70293
2024-10-31,136.0,115.9176
2024-11-01,130.0,111.12059
2024-11-02,123.0,91.01889
2024-11-03,71.0,64.147255
