date,True AQI,Predicted AQI
2024-05-29,76,62.770064001685114
2024-05-30,44,69.15634915736382
2024-05-31,28,46.449557492728395
2024-06-01,40,35.09616166041068
2024-06-02,46,43.611208534648966
2024-06-03,65,47.868731971768106
2024-06-04,74,61.350889522645396
2024-06-05,64,67.73717467832411
2024-06-06,74,60.64130228312554
2024-06-07,50,67.73717467832411
2024-06-08,54,50.707080929847535
2024-06-09,61,53.545429887926964
2024-06-10,67,58.51254056456597
2024-06-11,63,62.770064001685114
2024-06-12,73,59.931715043605685
2024-06-13,69,67.02758743880425
2024-06-14,44,64.18923848072482
2024-06-15,36,46.449557492728395
2024-06-16,60,40.77285957656954
2024-06-17,83,57.80295332504611
2024-06-18,90,74.12345983400283
2024-06-19,93,79.09057051064183
2024-06-20,74,81.2193322292014
2024-06-21,50,67.73717467832411
2024-06-22,97,50.707080929847535
2024-06-23,137,84.05768118728082
2024-06-24,29,112.44117076807512
2024-06-25,43,35.805748899930535
2024-06-26,80,45.73997025320854
2024-06-27,71,71.99469811544326
2024-06-28,80,65.60841295976454
2024-06-29,71,71.99469811544326
2024-06-30,55,65.60841295976454
2024-07-01,35,54.25501712744683
2024-07-02,34,40.06327233704968
2024-07-03,37,39.35368509752982
2024-07-04,62,41.48244681608939
2024-07-05,84,59.22212780408582
2024-07-06,45,74.83304707352269
2024-07-07,40,47.15914473224825
2024-07-08,37,43.611208534648966
2024-07-09,64,41.48244681608939
2024-07-10,81,60.64130228312554
2024-07-11,88,72.7042853549631
2024-07-12,45,77.67139603160211
2024-07-13,52,47.15914473224825
2024-07-14,73,52.12625540888725
2024-07-15,59,67.02758743880425
2024-07-16,44,57.093366085526256
2024-07-17,29,46.449557492728395
2024-07-18,32,35.805748899930535
2024-07-19,61,37.93451061849011
2024-07-20,53,58.51254056456597
2024-07-21,50,52.83584264840711
2024-07-22,40,50.707080929847535
2024-07-23,58,43.611208534648966
2024-07-24,48,56.38377884600639
2024-07-25,26,49.287906450807824
2024-07-26,31,33.67698718137096
2024-07-27,37,37.22492337897025
2024-07-28,31,41.48244681608939
2024-07-29,40,37.22492337897025
2024-07-30,19,43.611208534648966
2024-07-31,32,28.709876504731966
2024-08-01,27,37.93451061849011
2024-08-02,34,34.386574420890824
2024-08-03,31,39.35368509752982
2024-08-04,37,37.22492337897025
2024-08-05,30,41.48244681608939
2024-08-06,45,36.51533613945039
2024-08-07,50,47.15914473224825
2024-08-08,43,50.707080929847535
2024-08-09,49,45.73997025320854
2024-08-10,29,49.99749369032768
2024-08-11,27,35.805748899930535
2024-08-12,18,34.386574420890824
2024-08-13,18,28.000289265212107
2024-08-14,27,28.000289265212107
2024-08-15,43,34.386574420890824
2024-08-16,43,45.73997025320854
2024-08-17,38,45.73997025320854
2024-08-18,30,42.19203405560925
2024-08-19,26,36.51533613945039
2024-08-20,18,33.67698718137096
2024-08-21,23,28.000289265212107
2024-08-22,28,31.54822546281139
2024-08-23,42,35.09616166041068
2024-08-24,33,45.03038301368868
2024-08-25,30,38.644097858009964
2024-08-26,26,36.51533613945039
2024-08-27,21,33.67698718137096
2024-08-28,31,30.129050983771677
2024-08-29,43,37.22492337897025
2024-08-30,58,45.73997025320854
2024-08-31,52,56.38377884600639
2024-09-01,28,52.12625540888725
2024-09-02,21,35.09616166041068
2024-09-03,32,30.129050983771677
2024-09-04,58,37.93451061849011
2024-09-05,23,56.38377884600639
2024-09-06,23,31.54822546281139
2024-09-07,22,31.54822546281139
2024-09-08,26,30.838638223291536
2024-09-09,58,33.67698718137096
2024-09-10,17,56.38377884600639
2024-09-11,20,27.290702025692248
2024-09-12,26,29.41946374425182
2024-09-13,33,33.67698718137096
